     Node_label    Um  U1   U2   U3
          150177     419.542E-06     409.015E-06    -80.3665E-18     93.3935E-06
          150178     545.310E-06     522.444E-06    -80.3665E-18     156.255E-06
          150179     23.6696E-06     153.713E-18    -80.3665E-18    -23.6696E-06
          150180     465.861E-06     451.225E-06    -80.3665E-18     115.855E-06
          150181     497.892E-06     479.001E-06    -80.3665E-18     135.845E-06
          150182     520.194E-06     499.662E-06    -80.3665E-18     144.705E-06
          150183     533.085E-06     510.300E-06    -80.3665E-18     154.187E-06
          150184     52.5137E-06     41.4448E-06    -80.3665E-18    -32.2492E-06
          150185     86.9619E-06     83.4847E-06    -80.3665E-18    -24.3452E-06
          150186     126.973E-06     123.254E-06    -80.3665E-18    -30.5046E-06
          150187     165.625E-06     164.824E-06    -80.3665E-18    -16.2719E-06
          150188     202.353E-06     201.719E-06    -80.3665E-18    -16.0005E-06
          150189     241.613E-06     241.611E-06    -80.3665E-18    -1.02418E-06
          150190     274.816E-06     274.813E-06    -80.3665E-18     1.25101E-06
          150191     312.581E-06     312.047E-06    -80.3665E-18     18.2694E-06
          150192     341.594E-06     340.812E-06    -80.3665E-18     23.0940E-06
          150193     376.753E-06     374.546E-06    -80.3665E-18     40.7149E-06
          150194     401.298E-06     398.441E-06    -80.3665E-18     47.8004E-06
          150195     432.953E-06     428.046E-06    -80.3665E-18     65.0018E-06
          150196     453.004E-06     446.974E-06    -80.3665E-18     73.6657E-06
          150197     480.454E-06     472.061E-06    -80.3665E-18     89.4104E-06
          150198     496.179E-06     486.251E-06    -80.3665E-18     98.7595E-06
          150199     518.819E-06     506.608E-06    -80.3665E-18     111.900E-06
          150200     529.880E-06     515.876E-06    -80.3665E-18     121.017E-06
          150201     546.916E-06     530.954E-06    -80.3665E-18     131.168E-06
          150202     553.253E-06     535.422E-06    -80.3665E-18     139.325E-06
          150203     564.453E-06     545.168E-06    -80.3665E-18     146.284E-06
          150204     566.058E-06     544.970E-06    -80.3665E-18     153.066E-06
          150205     572.204E-06     550.186E-06    -80.3665E-18     157.203E-06
